brand,year,km_driven,fuel,price
Mahindra,2010,55396,Diesel,1656290
Hyundai,2014,78860,CNG,1256183
Ford,2008,10364,Electric,740541
Toyota,2017,24506,Electric,1583615
Hyundai,2010,231489,CNG,1402257
Mahindra,2005,53095,Electric,1410692
Hyundai,2018,158362,Diesel,1291569
Renault,2013,131934,CNG,838596
Renault,2008,202604,Petrol,898268
Renault,2015,68665,CNG,384959
Tata,2020,150845,Diesel,1179069
Tata,2015,234173,Petrol,789064
Ford,2011,113951,Diesel,112429
Toyota,2015,134188,Petrol,896142
Tata,2006,10065,Petrol,1069210
Hyundai,2021,112580,Electric,1422418
Nissan,2008,6451,Electric,1435624
Toyota,2011,244043,Petrol,522881
Kia,2020,88665,Petrol,900862
Hyundai,2006,87882,Petrol,702841
Hyundai,2021,151322,Petrol,387549
Hyundai,2012,226692,Diesel,1455723
Kia,2024,153572,CNG,1522201
Honda,2006,236340,Electric,1504283
Mahindra,2010,187565,Petrol,1602645
Hyundai,2022,120654,Diesel,332975
Hyundai,2005,146904,Diesel,364192
Tata,2019,203657,Petrol,1370612
Mahindra,2025,181012,CNG,211351
Nissan,2007,77998,Diesel,562988
Ford,2016,217742,CNG,729445
Renault,2018,38802,Electric,825671
Renault,2023,243265,CNG,515983
Honda,2019,49470,CNG,1361038
Maruti,2020,32910,CNG,556748
Mahindra,2017,164867,CNG,849860
Ford,2018,85687,Petrol,939000
Kia,2017,69510,CNG,1260186
Honda,2025,245066,CNG,365967
Ford,2017,92718,Electric,1471585
Ford,2022,35601,Petrol,360050
Nissan,2017,136010,Electric,429367
Tata,2007,42296,Petrol,349084
Tata,2012,78398,Petrol,1677603
Honda,2006,187449,CNG,1309843
Nissan,2023,149894,Diesel,1223280
Toyota,2020,242662,Electric,643496
Nissan,2019,178402,Electric,1496413
Toyota,2018,84772,Petrol,387612
Tata,2014,217602,Diesel,858965
Tata,2006,141044,Electric,1055791
Mahindra,2011,42193,CNG,1672483
Mahindra,2022,18188,Petrol,652485
Hyundai,2007,116699,Diesel,830494
Nissan,2009,228351,CNG,1004801
Renault,2025,161812,CNG,117494
Honda,2008,31332,Electric,1703557
Tata,2019,158338,Diesel,785942
Ford,2017,15439,Diesel,184002
Mahindra,2024,176879,Electric,135952
Toyota,2011,77323,Diesel,1396473
Mahindra,2014,103045,Petrol,656740
Tata,2019,83163,Electric,810443
Nissan,2013,113669,Diesel,445319
Hyundai,2005,225594,Petrol,640877
Ford,2006,175733,Petrol,410318
Tata,2019,33763,Electric,1275801
Renault,2024,163333,Diesel,164516
Hyundai,2014,221349,CNG,327206
Maruti,2011,85703,Electric,1855879
Honda,2024,118337,Petrol,276180
Maruti,2023,116469,Petrol,361413
Nissan,2023,106456,Electric,1750643
Ford,2005,112956,Diesel,1744724
Hyundai,2012,230362,Petrol,1729906
Honda,2016,141503,Diesel,979473
Maruti,2024,102573,CNG,844004
Maruti,2017,207414,CNG,259835
Maruti,2025,106124,Petrol,1623119
Toyota,2016,61015,CNG,487933
Kia,2007,218390,Petrol,1597474
Ford,2017,193602,CNG,1320190
Hyundai,2007,140394,Diesel,101108
Tata,2008,94397,Petrol,523888
Maruti,2008,213104,Electric,1922968
Tata,2006,231546,CNG,220900
Honda,2006,27843,Electric,1433810
Renault,2025,63311,Petrol,1702430
Kia,2017,162531,Diesel,442904
Ford,2005,97727,Electric,652487
Tata,2014,129835,Electric,1936000
Kia,2015,167863,CNG,668805
Nissan,2016,127188,Electric,1732437
Renault,2012,203338,Electric,995766
Maruti,2025,103075,CNG,1613482
Renault,2023,41679,Electric,538295
Mahindra,2017,155360,Petrol,932912
Kia,2007,139772,Petrol,837915
Nissan,2014,114254,Electric,497459
Kia,2022,131967,Diesel,1240678
Renault,2008,125392,Petrol,1803137
Maruti,2017,130840,Diesel,839512
Nissan,2018,132131,CNG,417145
Renault,2011,107917,Electric,1237260
Ford,2010,13937,Diesel,406347
Hyundai,2020,200928,Petrol,128319
Toyota,2013,191471,Diesel,414272
Tata,2011,5443,Petrol,1033071
Maruti,2016,230879,Petrol,275830
Hyundai,2020,82025,CNG,1347058
Tata,2005,42674,Electric,1339266
Toyota,2013,114353,Petrol,1672347
Hyundai,2007,184970,CNG,101483
Ford,2011,200362,Diesel,980227
Renault,2013,115079,Petrol,1322007
Mahindra,2017,37323,Electric,1042575
Nissan,2018,214086,CNG,1578630
Maruti,2014,86712,Petrol,443296
Toyota,2017,10234,Diesel,926702
Honda,2013,123941,Electric,1983595
Hyundai,2014,77812,Diesel,199442
Ford,2012,55969,CNG,274456
Kia,2020,37829,Petrol,754114
Renault,2016,187126,CNG,1392129
Toyota,2015,223248,Petrol,1447442
Ford,2008,75683,CNG,1456481
Ford,2010,46780,Petrol,1452840
Hyundai,2016,89296,Diesel,588740
Maruti,2025,81679,Diesel,329738
Tata,2012,213420,Electric,459012
Hyundai,2016,101384,Petrol,359813
Nissan,2015,225342,Petrol,1759209
Toyota,2023,60083,Diesel,451630
Renault,2009,49673,Diesel,1179938
Hyundai,2018,20042,CNG,441521
Tata,2008,69026,Diesel,478790
Tata,2013,182425,CNG,1172977
Kia,2017,21497,CNG,594153
Honda,2009,105907,Diesel,1253212
Hyundai,2024,71980,Diesel,1811078
Honda,2021,214716,Petrol,645892
Renault,2010,12327,Diesel,292246
Nissan,2019,190635,Diesel,688812
Kia,2018,106335,CNG,1776649
Tata,2008,28842,Electric,297079
Honda,2013,44990,Electric,489480
Tata,2022,11800,CNG,1810242
Ford,2009,36685,Petrol,1067569
Hyundai,2012,135462,CNG,629935
Hyundai,2011,37694,CNG,1565380
Nissan,2014,27589,CNG,613373
Renault,2022,61926,Diesel,1996285
Hyundai,2025,190451,CNG,1668894
Maruti,2005,81879,Diesel,1621272
Renault,2013,218467,Diesel,1532299
Kia,2023,97539,Electric,1451230
Kia,2012,42224,CNG,946314
Tata,2017,90053,CNG,374009
Tata,2017,137670,Electric,412385
Hyundai,2005,214428,CNG,1566337
Ford,2011,7004,Diesel,183268
Nissan,2024,202118,Petrol,561862
Renault,2013,169560,Petrol,1227239
Renault,2005,207093,CNG,147350
Honda,2010,75600,CNG,1982215
Mahindra,2022,47860,Petrol,900212
Honda,2008,206991,CNG,1886213
Toyota,2007,19246,Diesel,253036
Mahindra,2021,12875,CNG,247919
Maruti,2024,124683,Petrol,1808389
Honda,2013,94736,CNG,639592
Hyundai,2019,177599,CNG,1692599
Nissan,2022,51816,Electric,1839787
Toyota,2017,235134,Diesel,452759
Honda,2011,135837,CNG,437093
Maruti,2009,16737,Petrol,1789163
Mahindra,2012,11726,Diesel,804403
Maruti,2005,123464,Electric,1301646
Ford,2007,218635,Electric,1294896
Tata,2022,86191,Diesel,1378651
Nissan,2023,112685,Diesel,232080
Renault,2020,84663,Diesel,1493993
Maruti,2007,147241,Electric,1030415
Ford,2022,92712,CNG,1766291
Tata,2005,141134,Electric,1822315
Honda,2008,133415,CNG,328078
Renault,2008,49271,CNG,1467619
Ford,2022,48605,Electric,1333410
Renault,2024,115355,Electric,1526116
Hyundai,2012,57072,CNG,134294
Nissan,2010,221340,Petrol,1654475
Toyota,2006,63701,CNG,1942920
Kia,2023,157925,Petrol,491165
Maruti,2019,9729,Electric,1301340
Honda,2015,143443,Petrol,401057
Ford,2009,214258,Electric,601109
Ford,2011,203161,Petrol,1676554
Honda,2019,106511,Petrol,1825223
Hyundai,2007,247073,Diesel,1241596
Tata,2012,229815,Petrol,300799
Honda,2012,208183,Petrol,492046
Mahindra,2016,88990,CNG,392053
Kia,2012,5971,Diesel,985369
Mahindra,2010,141942,CNG,1977424
Renault,2006,14934,Petrol,736068
Hyundai,2022,23098,Diesel,248535
Nissan,2006,228860,Diesel,164204
Toyota,2016,167596,Electric,1918938
Tata,2022,67157,Diesel,1215066
Tata,2016,173345,Petrol,1692195
Mahindra,2012,134513,Petrol,1133237
Mahindra,2016,162135,Electric,1421967
Honda,2005,65989,CNG,1357612
Maruti,2017,115877,CNG,1059959
Honda,2009,107314,Petrol,582081
Renault,2009,157181,Diesel,818159
Hyundai,2016,213533,Electric,1084790
Kia,2012,225763,Diesel,1725634
Hyundai,2023,202650,Electric,1364666
Toyota,2021,244678,CNG,1585758
Mahindra,2022,105568,Electric,663071
Honda,2008,6749,Electric,1958151
Maruti,2025,86558,Diesel,1623893
Toyota,2013,160632,Electric,820749
Honda,2014,114221,Diesel,1239636
Kia,2017,40256,Electric,157092
Kia,2024,213098,Petrol,1378151
Toyota,2008,95186,CNG,762466
Kia,2019,213648,Petrol,952847
Kia,2007,53993,Petrol,1907141
Tata,2019,99471,Petrol,349961
Renault,2025,106580,CNG,243481
Renault,2013,115181,Electric,1480226
Tata,2025,114887,CNG,1722357
Honda,2019,230718,Diesel,1065407
Ford,2011,72648,Electric,1286660
Ford,2013,46770,Petrol,253623
Nissan,2009,226822,Diesel,602027
Tata,2018,228774,Petrol,419343
Nissan,2019,49659,Diesel,1064770
Maruti,2005,225590,Electric,1885647
Toyota,2014,238113,Petrol,115137
Tata,2015,119350,Diesel,635352
Nissan,2020,225115,Diesel,219913
Renault,2011,106143,Diesel,1929750
Renault,2013,124768,Electric,1578716
Maruti,2015,199516,Diesel,1120910
Honda,2020,207528,CNG,905875
Tata,2009,121242,Petrol,1836149
Maruti,2013,160914,Petrol,1087892
Tata,2005,16072,Diesel,1458085
Maruti,2013,26290,Petrol,1990085
Mahindra,2023,225056,Petrol,434387
Kia,2010,181586,Petrol,764398
Nissan,2007,146307,Electric,1841115
Maruti,2016,172835,CNG,164271
Renault,2022,17775,CNG,1652568
Toyota,2015,220101,CNG,1649602
Hyundai,2020,146176,Electric,573198
Mahindra,2010,27434,Electric,1448335
Toyota,2006,82780,CNG,1596286
Honda,2011,216056,CNG,105094
Hyundai,2019,62009,CNG,667122
Toyota,2006,153311,Diesel,1949421
Renault,2013,131918,Electric,141621
Renault,2010,160024,CNG,465802
Honda,2014,184238,CNG,372829
Honda,2009,76748,Diesel,1947884
Renault,2010,62013,CNG,1543066
Maruti,2025,160242,Petrol,237420
Toyota,2011,75127,Diesel,1333818
Kia,2015,90094,Diesel,1105029
Toyota,2023,91923,Petrol,893821
Mahindra,2011,25822,Petrol,822123
Nissan,2010,143166,Diesel,1979086
Honda,2021,182539,Electric,475465
Nissan,2006,104300,Electric,1822229
Mahindra,2017,88400,Electric,711040
Kia,2020,199657,Electric,1503470
Renault,2011,187339,Petrol,1154525
Maruti,2021,178560,CNG,1480071
Ford,2009,169991,Electric,1011054
Ford,2006,212078,Petrol,615006
Kia,2021,168401,Diesel,236255
Ford,2013,100623,CNG,312713
Renault,2012,125419,Petrol,187205
Nissan,2018,119976,CNG,359790
Renault,2015,223027,Electric,1601600
Honda,2007,54284,Diesel,267986
Kia,2011,196970,CNG,1925823
Tata,2005,240928,CNG,1832183
Toyota,2017,145688,Petrol,430466
Honda,2007,27964,CNG,936776
Mahindra,2023,17982,Diesel,1053587
Ford,2018,59545,CNG,1260829
Renault,2015,89197,Diesel,906188
Maruti,2025,159218,CNG,1571626
Nissan,2009,111359,CNG,1843043
Maruti,2005,44782,Petrol,530644
Nissan,2020,28679,Petrol,1436252
Mahindra,2008,9722,Petrol,926713
Tata,2021,68509,Electric,539886
Nissan,2010,173773,CNG,1211573
Hyundai,2006,231274,CNG,1294551
Nissan,2012,43947,CNG,930179
Renault,2008,194262,CNG,1511773
Tata,2015,33066,Electric,1508164
Honda,2007,18683,Petrol,1308923
Tata,2008,133898,Diesel,1532924
Toyota,2007,8633,Electric,347161
Honda,2017,38987,Diesel,227526
Nissan,2015,167943,Electric,517458
Ford,2011,44646,Diesel,1602273
Maruti,2016,153653,Diesel,415897
Renault,2017,203230,Electric,698121
Honda,2011,55868,Petrol,641093
Ford,2023,18643,Diesel,788699
Toyota,2019,194997,CNG,970119
Tata,2025,205039,Electric,296770
Ford,2024,176689,Petrol,376887
Honda,2020,144930,Electric,289891
Ford,2022,188339,Electric,236003
Honda,2017,66432,Diesel,191166
Honda,2019,59232,CNG,514067
Ford,2014,146604,Diesel,1052973
Tata,2018,189923,Electric,1804707
Nissan,2012,152012,CNG,340528
Maruti,2014,187923,Petrol,1469478
Nissan,2005,53335,Electric,1378606
Mahindra,2023,110055,CNG,1405096
Honda,2015,128553,Petrol,1266430
Honda,2021,153311,Petrol,1830423
Maruti,2005,222705,Electric,1974606
Hyundai,2022,141629,Petrol,1603349
Renault,2005,113543,CNG,1044647
Honda,2014,145348,Petrol,273156
Nissan,2009,10717,CNG,1461447
Kia,2019,190307,Diesel,767060
Hyundai,2011,108996,Diesel,1494797
Nissan,2009,207304,Petrol,1799444
Tata,2012,82898,Petrol,1040611
Tata,2012,245254,Electric,1885390
Renault,2014,193784,Petrol,141931
Tata,2021,12192,Petrol,1406733
Maruti,2007,145193,Petrol,1087506
Maruti,2020,33987,Electric,341346
Nissan,2010,121235,Petrol,1696243
Tata,2009,37774,CNG,1952254
Nissan,2010,66829,Electric,1848548
Maruti,2013,80213,Petrol,250826
Renault,2005,65475,CNG,1299593
Kia,2019,91306,Electric,1589135
Honda,2016,101743,Electric,1387245
Renault,2024,169771,CNG,913292
Toyota,2017,216398,Electric,293555
Mahindra,2011,190243,CNG,925365
Tata,2011,227177,Electric,253400
Tata,2016,5782,CNG,195081
Toyota,2024,36788,Petrol,1495099
Maruti,2010,16421,Petrol,605769
Nissan,2007,32640,Petrol,348938
Nissan,2016,163649,CNG,347314
Hyundai,2022,146825,Diesel,956019
Mahindra,2018,51284,CNG,619839
Renault,2010,238315,Diesel,1427522
Hyundai,2013,200077,Electric,1051175
Tata,2020,136846,Petrol,866636
Nissan,2015,15065,Petrol,1958641
Renault,2024,198777,Electric,1405170
Hyundai,2021,210456,Diesel,947062
Kia,2009,192324,Diesel,414749
Nissan,2011,100407,Electric,927918
Ford,2010,217803,Electric,1235572
Mahindra,2019,79026,Electric,1081593
Maruti,2018,121993,CNG,1813596
Tata,2006,170588,Electric,1932595
Hyundai,2023,36883,CNG,820254
Toyota,2018,117055,Diesel,1022720
Renault,2011,48865,Electric,1244562
Maruti,2015,206120,Petrol,1483036
Honda,2006,60906,CNG,678353
Maruti,2020,169163,Electric,1406399
Tata,2015,11931,Petrol,1550155
Hyundai,2016,249694,Petrol,777845
Ford,2007,93872,CNG,130190
Maruti,2023,121273,CNG,168112
Hyundai,2006,60414,Petrol,1442414
Nissan,2020,242089,Diesel,691738
Renault,2013,123239,Petrol,378564
Honda,2008,81560,CNG,661921
Nissan,2024,165258,Petrol,1374646
Renault,2017,169486,Electric,1316111
Mahindra,2005,119670,Petrol,1258034
Kia,2005,226183,Electric,1210639
Tata,2014,23986,Electric,1644621
Honda,2023,136828,Diesel,1883442
Renault,2024,88285,Diesel,924467
Renault,2018,238452,Diesel,1438280
Ford,2006,36723,CNG,833781
Kia,2011,13085,CNG,178867
Mahindra,2014,182441,Petrol,758530
Maruti,2010,131743,Diesel,1629873
Toyota,2012,247895,CNG,1096633
Tata,2005,19387,CNG,701866
Hyundai,2022,111012,Diesel,1517703
Mahindra,2023,121096,CNG,1464850
Kia,2011,29117,CNG,1279449
Renault,2023,163385,Electric,569967
Ford,2015,150651,Electric,1556406
Hyundai,2013,118588,Diesel,1332377
Ford,2012,125996,Diesel,206385
Maruti,2013,133573,Electric,1156868
Hyundai,2024,133831,Diesel,186726
Ford,2020,150829,Petrol,1100128
Mahindra,2022,42487,Electric,1958806
Hyundai,2023,206516,Diesel,845707
Ford,2018,219841,Petrol,697688
Hyundai,2009,92701,Diesel,336562
Ford,2019,160954,Petrol,1981322
Mahindra,2017,49292,Diesel,1407417
Kia,2011,28903,CNG,1560119
Hyundai,2018,129475,Electric,838096
Renault,2021,204721,Petrol,747203
Honda,2013,247047,CNG,626270
Hyundai,2019,236223,Diesel,767840
Toyota,2013,230898,Diesel,1054892
Maruti,2014,166700,Petrol,184489
Nissan,2006,131792,Electric,1069130
Maruti,2014,137308,Diesel,1493958
Kia,2005,208875,Petrol,227243
Kia,2005,19913,CNG,1132858
Kia,2010,233525,CNG,316196
Kia,2023,180274,Diesel,258570
Maruti,2006,7340,CNG,1235946
Toyota,2010,79872,Petrol,827054
Kia,2012,221916,Diesel,1759847
Nissan,2016,194433,CNG,137119
Nissan,2013,166860,Petrol,1996941
Tata,2015,108154,CNG,328033
Kia,2025,77465,Petrol,282712
Hyundai,2020,159054,Diesel,631738
Nissan,2024,163394,CNG,1255163
Nissan,2016,119516,Petrol,1126535
Honda,2022,92305,Electric,798312
Renault,2005,98503,CNG,1567452
Tata,2015,140081,Petrol,446534
Ford,2009,58817,Diesel,1738142
Renault,2019,132421,CNG,947072
Toyota,2008,75693,Petrol,339326
Kia,2023,131667,Electric,1873967
Maruti,2013,126838,CNG,1365678
Nissan,2018,231279,Electric,638473
Nissan,2021,22896,Diesel,1349590
Hyundai,2024,90855,CNG,1719141
Nissan,2017,46255,Petrol,286274
Renault,2017,189927,Diesel,684743
Honda,2010,85339,Petrol,1099340
Ford,2024,53804,Diesel,1220982
Kia,2007,221580,CNG,162292
Maruti,2023,185550,Electric,241425
Renault,2007,95516,CNG,1454731
Mahindra,2021,23989,Diesel,816152
Kia,2017,224245,Diesel,1404515
Renault,2014,79612,Electric,1373390
Tata,2013,174503,Petrol,1035212
Tata,2008,211531,Electric,1241314
Mahindra,2022,61403,CNG,723336
Maruti,2009,12745,CNG,1985167
Nissan,2023,48317,CNG,111312
Tata,2015,118565,Petrol,598688
Maruti,2014,65499,Petrol,1262340
Hyundai,2011,158411,CNG,231923
Nissan,2016,106702,Petrol,409371
Toyota,2021,14807,Petrol,525015
Tata,2009,208445,Electric,297954
Nissan,2008,227842,CNG,1803003
Kia,2021,63123,Electric,1281583
Mahindra,2021,34054,Petrol,847514
Nissan,2006,68234,Petrol,1501038
Nissan,2007,13526,Petrol,1902051
Kia,2017,91982,Diesel,339068
Tata,2005,232829,Petrol,204202
Mahindra,2006,150766,Electric,1088722
Ford,2014,100069,Petrol,1090969
Nissan,2023,239700,Electric,924551
Hyundai,2023,104681,Petrol,135859
Ford,2009,176612,Diesel,253584
Ford,2025,76128,CNG,537316
Nissan,2022,124564,Petrol,758098
Toyota,2011,58448,Electric,383068
Kia,2006,72960,CNG,905381
Ford,2006,92338,Petrol,1993268
Kia,2014,181823,Petrol,1457470
Hyundai,2013,240028,CNG,1148349
Hyundai,2020,24624,Petrol,1020026
Nissan,2021,109870,Diesel,1708831
Honda,2019,223147,Electric,1467427
Ford,2010,19665,Diesel,580304
Hyundai,2013,26898,Petrol,749156
Toyota,2008,13699,Electric,502751
Toyota,2008,169833,Electric,1011545
Tata,2019,61288,Diesel,740017
Kia,2018,216222,Petrol,491751
Maruti,2019,32991,Electric,109995
Kia,2024,239451,Electric,1087147
Maruti,2017,226310,Electric,1275783
Hyundai,2016,17451,Petrol,1841415
Ford,2025,193349,Petrol,878151
Honda,2006,33329,CNG,502178
Honda,2023,97869,CNG,1336672
Tata,2007,198582,Electric,255691
Honda,2022,149463,CNG,962015
Ford,2007,39769,Electric,996763
Tata,2023,26867,Electric,810810
Renault,2009,134728,Petrol,776883
Toyota,2022,105237,CNG,1149554
Tata,2018,142961,Diesel,746013
Toyota,2011,133372,Diesel,282854
Mahindra,2014,166133,Electric,1713858
Maruti,2018,107272,Diesel,1671137
Honda,2015,181605,Diesel,1251416
Maruti,2023,20914,Electric,1956488
Renault,2010,148402,Electric,209208
Nissan,2013,225481,Diesel,556352
Maruti,2015,178943,Diesel,1135914
Mahindra,2009,231772,Diesel,1363414
Mahindra,2019,72473,Petrol,1184179
Renault,2016,182482,CNG,1229706
Tata,2016,229934,Diesel,1008605
Honda,2012,188953,Diesel,1575091
Kia,2019,236072,Petrol,1705331
Nissan,2022,34921,Petrol,1239029
Toyota,2016,36583,CNG,367703
Kia,2013,114225,Petrol,1756579
Kia,2021,137089,Petrol,1834802
Maruti,2007,136852,Diesel,1503221
Nissan,2005,245105,Electric,1176633
Hyundai,2025,69864,Petrol,1554447
Hyundai,2023,216242,Diesel,256876
Tata,2012,32786,Petrol,1574389
Mahindra,2006,184107,Petrol,923518
Toyota,2023,214272,Diesel,182035
Kia,2017,79596,Petrol,1697460
Ford,2025,184316,Diesel,1633927
Mahindra,2009,133837,Diesel,806977
Ford,2007,231840,Petrol,1353900
Toyota,2024,154751,Electric,307958
Mahindra,2018,188230,Diesel,1320259
Tata,2005,132140,Electric,409639
Hyundai,2020,181507,Petrol,1294818
Renault,2021,200078,Diesel,1500419
Tata,2009,247959,Electric,661568
Maruti,2012,60047,Petrol,1162976
Renault,2018,234779,Electric,1535119
Tata,2011,141432,CNG,740665
Hyundai,2015,88267,Petrol,1626965
Toyota,2020,13605,Petrol,780458
Hyundai,2012,175179,Electric,1290534
Honda,2005,148547,CNG,369469
Ford,2025,26533,Diesel,1226309
Toyota,2019,13464,Electric,1509726
Ford,2021,204845,Petrol,1207788
Nissan,2015,51082,Diesel,179535
Ford,2015,204746,Electric,848809
Mahindra,2023,64238,Diesel,1077871
Ford,2007,36685,Petrol,757659
Kia,2011,136084,CNG,742527
Mahindra,2021,17379,Electric,1533362
Toyota,2010,193391,CNG,1665810
Tata,2009,72103,Diesel,1287439
Ford,2022,125828,Petrol,1799423
Nissan,2018,249888,Petrol,1183450
Renault,2015,150686,Petrol,908140
Honda,2011,153404,CNG,832757
Toyota,2019,114033,Diesel,901561
Maruti,2005,19982,Electric,119701
Renault,2010,39217,Petrol,1135626
Toyota,2021,215183,Diesel,1769556
Toyota,2019,42208,CNG,1431666
Mahindra,2008,22262,Diesel,312329
Toyota,2015,235141,CNG,855981
Hyundai,2012,93884,CNG,405626
Mahindra,2008,97746,Electric,1700120
Toyota,2023,98495,Petrol,1504147
Tata,2010,231181,Petrol,680103
Tata,2019,197651,Electric,794365
Nissan,2007,35583,Electric,1344964
Renault,2021,157226,Diesel,1735778
Mahindra,2016,18217,CNG,925221
Honda,2006,228731,Electric,1098603
Hyundai,2023,56470,Electric,1607516
Kia,2018,162017,Electric,1666045
Hyundai,2011,150701,Diesel,1627934
Mahindra,2021,244275,Electric,1982534
Toyota,2022,141464,Diesel,1464011
Mahindra,2005,163281,Electric,1900819
Hyundai,2018,148245,CNG,964681
Hyundai,2018,19508,Electric,1457284
Renault,2006,235499,CNG,1964967
Ford,2019,104533,Petrol,1467937
Renault,2018,218240,Electric,1929826
Honda,2008,241938,Diesel,1990105
Kia,2019,101503,Petrol,641144
Toyota,2005,236795,Electric,263041
Mahindra,2017,204765,Electric,799958
Maruti,2007,247923,Diesel,141713
Hyundai,2013,116452,Petrol,1470469
Nissan,2012,188482,Petrol,365773
Toyota,2015,145829,Electric,291016
Toyota,2014,61102,Electric,380938
Renault,2010,34772,Petrol,1361360
Toyota,2017,197560,Petrol,1378610
Kia,2023,122853,Petrol,1299467
Ford,2009,55635,Electric,237525
Tata,2022,241754,Petrol,1906330
Nissan,2014,26642,CNG,1722686
Mahindra,2007,122769,Petrol,317195
Hyundai,2006,112126,Petrol,1724403
Maruti,2013,204957,CNG,1732522
Hyundai,2006,241238,Diesel,1297974
Toyota,2019,108835,Petrol,1342471
Maruti,2011,193834,Petrol,730838
Kia,2006,192558,Petrol,886853
Hyundai,2016,21752,Petrol,1868740
Toyota,2024,47676,Petrol,1467267
Toyota,2022,43711,CNG,554756
Kia,2019,128561,Diesel,917583
Hyundai,2007,178600,CNG,916495
Maruti,2008,149255,Diesel,1432005
Renault,2024,236189,Diesel,129131
Hyundai,2021,131263,Petrol,1132839
Hyundai,2021,111561,Diesel,434669
Ford,2006,32108,CNG,1148618
Tata,2010,91479,Petrol,635673
Honda,2008,239403,Petrol,846856
Tata,2015,47029,Electric,101351
Mahindra,2006,223863,Petrol,134858
Mahindra,2008,138689,Petrol,1975004
Honda,2006,191000,Electric,1383617
Ford,2009,184147,CNG,1107840
Maruti,2023,132060,CNG,472415
Maruti,2011,176850,Petrol,1940886
Renault,2021,131311,Electric,1168315
Hyundai,2009,76861,Electric,1013368
Maruti,2023,200291,Electric,1824621
Mahindra,2017,13005,CNG,1476541
Hyundai,2008,31701,Petrol,1991203
Honda,2008,227427,Petrol,1678715
Kia,2018,137058,Electric,393293
Tata,2010,20213,Diesel,1152787
Mahindra,2024,103202,Electric,1997315
Mahindra,2017,85173,Diesel,639990
Kia,2006,113396,Petrol,451101
Honda,2015,41152,Diesel,1671141
Nissan,2014,129937,CNG,1959463
Tata,2013,68077,Electric,400251
Nissan,2012,130773,Petrol,1798196
Kia,2011,36691,Electric,1013045
Kia,2008,117901,Electric,1459853
Tata,2023,26340,Diesel,1708831
Mahindra,2017,98927,Petrol,607652
Kia,2012,85372,Diesel,1530897
Honda,2005,96684,CNG,1831189
Honda,2005,158334,Electric,443794
Maruti,2013,154388,Diesel,451779
Renault,2017,119611,Diesel,714107
Nissan,2016,171873,CNG,969337
Mahindra,2015,170533,Electric,841102
Mahindra,2024,69259,Diesel,647270
Mahindra,2011,218966,Diesel,396226
Hyundai,2019,46194,CNG,1268420
Honda,2011,236918,Petrol,759852
Maruti,2017,189447,Diesel,1758207
Renault,2014,193461,CNG,475374
Hyundai,2006,202008,Diesel,788868
Renault,2025,169056,Electric,950600
Kia,2014,249137,Petrol,597451
Hyundai,2012,77679,Diesel,960411
Kia,2022,222329,CNG,982543
Hyundai,2006,132973,Electric,682981
Hyundai,2023,65834,Diesel,1320209
Hyundai,2013,189629,Petrol,1685779
Kia,2016,100156,Petrol,1212330
Ford,2014,201027,CNG,880400
Renault,2013,44963,Petrol,1396583
Kia,2012,156173,Diesel,1952041
